sequence_id	specimen_id	library_id	path
50144_1_4	MA00419	MA00419_library01	"/seq/illumina/runs/50/50144/lane1/plex4/50144_1#4.cram"
50144_1_5	MA00585	MA00585_library01	"/seq/illumina/runs/50/50144/lane1/plex5/50144_1#5.cram"
50144_1_6	MA00583	MA00583_library01	"/seq/illumina/runs/50/50144/lane1/plex6/50144_1#6.cram"
50144_1_7	MA00188	MA00188_library01	"/seq/illumina/runs/50/50144/lane1/plex7/50144_1#7.cram"
50144_1_8	MA00922	MA00922_library01	"/seq/illumina/runs/50/50144/lane1/plex8/50144_1#8.cram"
50144_1_9	MA01899	MA01899_library01	"/seq/illumina/runs/50/50144/lane1/plex9/50144_1#9.cram"
50144_1_10	MA02465	MA02465_library01	"/seq/illumina/runs/50/50144/lane1/plex10/50144_1#10.cram"
50144_1_11	MA01773	MA01773_library01	"/seq/illumina/runs/50/50144/lane1/plex11/50144_1#11.cram"
50144_1_12	MA01730	MA01730_library01	"/seq/illumina/runs/50/50144/lane1/plex12/50144_1#12.cram"
50144_1_13	MA00241	MA00241_library01	"/seq/illumina/runs/50/50144/lane1/plex13/50144_1#13.cram"
50144_1_14	MA00244	MA00244_library01	"/seq/illumina/runs/50/50144/lane1/plex14/50144_1#14.cram"
50144_1_15	MA00227	MA00227_library01	"/seq/illumina/runs/50/50144/lane1/plex15/50144_1#15.cram"
50144_1_16	MA00251	MA00251_library01	"/seq/illumina/runs/50/50144/lane1/plex16/50144_1#16.cram"
50144_1_17	MA02209	MA02209_library01	"/seq/illumina/runs/50/50144/lane1/plex17/50144_1#17.cram"
50144_1_18	MA00250	MA00250_library01	"/seq/illumina/runs/50/50144/lane1/plex18/50144_1#18.cram"
50144_1_19	MA01810	MA01810_library01	"/seq/illumina/runs/50/50144/lane1/plex19/50144_1#19.cram"
50144_1_20	MA02214	MA02214_library01	"/seq/illumina/runs/50/50144/lane1/plex20/50144_1#20.cram"
50144_1_21	MA01809	MA01809_library01	"/seq/illumina/runs/50/50144/lane1/plex21/50144_1#21.cram"
50144_2_1	MA01664	MA01664_library01	"/seq/illumina/runs/50/50144/lane2/plex1/50144_2#1.cram"
50144_2_2	MA02138	MA02138_library01	"/seq/illumina/runs/50/50144/lane2/plex2/50144_2#2.cram"
50144_2_3	MA02185	MA02185_library01	"/seq/illumina/runs/50/50144/lane2/plex3/50144_2#3.cram"
50144_2_4	MA01951	MA01951_library01	"/seq/illumina/runs/50/50144/lane2/plex4/50144_2#4.cram"
50144_2_5	MA01552	MA01552_library01	"/seq/illumina/runs/50/50144/lane2/plex5/50144_2#5.cram"
50144_2_6	MA01674	MA01674_library01	"/seq/illumina/runs/50/50144/lane2/plex6/50144_2#6.cram"
50144_2_7	MA01644	MA01644_library01	"/seq/illumina/runs/50/50144/lane2/plex7/50144_2#7.cram"
50144_2_8	MA01827	MA01827_library01	"/seq/illumina/runs/50/50144/lane2/plex8/50144_2#8.cram"
50144_2_9	MA01722	MA01722_library01	"/seq/illumina/runs/50/50144/lane2/plex9/50144_2#9.cram"
50144_2_10	MA01906	MA01906_library01	"/seq/illumina/runs/50/50144/lane2/plex10/50144_2#10.cram"
50144_2_11	MA00195	MA00195_library01	"/seq/illumina/runs/50/50144/lane2/plex11/50144_2#11.cram"
50144_2_12	MA01581	MA01581_library01	"/seq/illumina/runs/50/50144/lane2/plex12/50144_2#12.cram"
50144_2_13	MA00489	MA00489_library01	"/seq/illumina/runs/50/50144/lane2/plex13/50144_2#13.cram"
50144_2_14	MA01330	MA01330_library01	"/seq/illumina/runs/50/50144/lane2/plex14/50144_2#14.cram"
50144_2_15	MA01340	MA01340_library01	"/seq/illumina/runs/50/50144/lane2/plex15/50144_2#15.cram"
50144_2_16	MA01546	MA01546_library01	"/seq/illumina/runs/50/50144/lane2/plex16/50144_2#16.cram"
50144_2_17	MA00272	MA00272_library01	"/seq/illumina/runs/50/50144/lane2/plex17/50144_2#17.cram"
50144_2_18	MA01804	MA01804_library01	"/seq/illumina/runs/50/50144/lane2/plex18/50144_2#18.cram"
50144_2_19	MA01710	MA01710_library01	"/seq/illumina/runs/50/50144/lane2/plex19/50144_2#19.cram"
50144_2_20	MA01420	MA01420_library01	"/seq/illumina/runs/50/50144/lane2/plex20/50144_2#20.cram"
50144_2_21	MA01408	MA01408_library01	"/seq/illumina/runs/50/50144/lane2/plex21/50144_2#21.cram"
50144_3_1	MA01844	MA01844_library01	"/seq/illumina/runs/50/50144/lane3/plex1/50144_3#1.cram"
50144_3_2	MA01831	MA01831_library01	"/seq/illumina/runs/50/50144/lane3/plex2/50144_3#2.cram"
50144_3_3	MA00650	MA00650_library01	"/seq/illumina/runs/50/50144/lane3/plex3/50144_3#3.cram"
